from,to,weight,season
V1,1,50,2021
1,Deutschland,,
V2,33,3,2019
33,Deutschland,,
V3,42,0,2021
42,Deutschland,,
V4,5,8,2020
5,Griechenland,,
V5,2,40,2020
2,Deutschland,,
2,Usbekistan,,
V6,37,1,2021
37,Japan,,
V7,24,60,2018
24,Kroatien,,
24,Deutschland,,
V8,15,13,2020
15,Deutschland,,
V9,23,18,2017
23,Belgien,,
23,Kongo,,
V10,3,17,2020
3,Japan,,
V11,16,8,2019
16,Deutschland,,
V12,32,15,2021
32,Frankreich,,
32,Komoren,,
V13,6,4,2020
6,England,,
6,Kongo,,
V14,8,18,2021
8,Frankreich,,
8,Martinique,,
V15,28,,2019
28,Dänemark,,
28,Ghana,,
V16,14,80,2019
14,Kongo,,
V17,30,25,2018
30,Deutschland,,
30,Italien,,
V18,11,5,2018
11,Deutschland,,
V19,20,30,2019
20,Deutschland,,
V20,31,17,2019
31,Deutschland,,
31,Argentinien,,
V21,25,0,2020
25,Deutschland,,
V22,34,0,2021
34,Türkei,,
V23,10,,2018
10,Deutschland,,
10,Benin,,
V24,7,0,2019
7,Frankreich,,
7,Elfenbeinküste,,
V25,22,25,2021
22,Deutschland,,
V26,9,18,2019
9,Österreich,,
9,Serbien,,
V27,18,5,2022
18,Portugal,,
V23,17,,2021
17,Ägypten,,
17,Kanada,,
V28,19,45,2021
19,Dänemark,,
19,Afghanistan,,
V21,50,,2022
50,Frankreich,,
50,Kamerun,,
V3,44,0,2021
44,Niederlande,,
44,Sierra Leone,,
