from,to,weight,season
V1,1,50,2021
1,DE,,
V2,33,3,2019
33,DE,,
V3,42,,2021
42,DE,,
V4,5,8,2020
5,GR,,
V5,2,40,2020
2,DE,,
2,UZ,,
V6,37,1,2021
37,JP,,
V7,24,60,2018
24,HR,,
24,DE,,
V8,15,13,2020
15,DE,,
V9,23,18,2017
23,BE,,
23,CD,,
V10,3,17,2020
3,JP,,
V11,16,8,2019
16,DE,,
V12,32,15,2021
32,FR,,
32,KM,,
V13,6,4,2020
6,E,,
6,CD,,
V14,8,18,2021
8,FR,,
8,MQ,,
V15,28,,2019
28,DK,,
28,GH,,
V16,14,80,2019
14,CD,,
V17,30,25,2018
30,DE,,
30,IT,,
V18,11,5,2018
11,DE,,
V19,20,30,2019
20,DE,,
V20,31,17,2019
31,DE,,
31,AR,,
V21,25,,2020
25,DE,,
V22,34,,2021
34,TR,,
V23,10,,2018
10,DE,,
10,BJ,,
V24,7,,2019
7,FR,,
7,CI,,
V25,22,25,2021
22,DE,,
V26,9,18,2019
9,AT,,
9,SRB,,
V27,18,5,2022
18,PT,,
V23,17,,2021
17,EG,,
17,CA,,
V28,19,45,2021
19,DK,,
19,AF,,
V21,50,,2022
50,FR,,
50,CM,,
V3,44,,2021
44,NL,,
44,SL,,
