id,name,country,type
1,Florian Müller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinus Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Dänemark,1
14,Silas Katompa Mvumpa,Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Förster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Ömer Beyaz,Türkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibali,Frankreich,1
22,Chris Führich,Deutschland,1
9,Sasa Kalajdzic,Österreich,1
18,Tiago Tomás,Portugal,1
17,Omar Marmoush,Ägypten,1
19,Wahid Faghir,Dänemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
V1,1. FCV Mainz,Deutschland,2
V2,1. FC Nürnberg,Deutschland,2
V3,VFB Stuttgart II,Deutschland,2
V4,FC Arsenal,England,2
V5,Hannover 96,Deutschland,2
V6,Júbilo Iwata,Japan,2
V7,GNK Dinamo Zagreb,Kroatien,2
V8,SC Freiburg,Deutschland,2
V9,RSC Anderlecht U21,Belgien,2
V10,VV St. Truiden,Belgien,2
V11,Holstein Kiel,Deutschland,2
V12,Juventus Turin U23,Italien,2
V13,FC Chelsea U23,England,2
V14,AS Monaco,Monaco,2
V15,FC Köln,Deutschland,2
V16,Paris FC,Frankreich,2
V17,Arminia Bielefeld U19,Deutschland,2
V18,FC Augsburg,Deutschland,2
V19,SV Sandhausen,Deutschland,2
V20,Instituto AC Córdoba,Argentinien,2
V21,VFB Stuttgart U19,Deutschland,2
V22,Fenerbahce Istanbul,Türkei,2
V23,VfL Wolfsburg,Deutschland,2
V24,Paris SG 19,Frankreich,2
V25,SC Paderborn,Deutschland,2
V26,Admira Wacker,Österreich,2
V27,Sporting Lissabon,Portugal,2
V28,Vejle Boldklub,Dänemark,2
Deutschland,,,
Griechenland,,,
Usbekistan,,,
Japan,,,
Kroatien,,,
Belgien,,,
Kongo,,,
Frankreich,,,
Komoren,,,
England,,,
Martinique,,,
Dänemark,,,
Ghana,,,
Italien,,,
Argentinien,,,
Türkei,,,
Benin,,,
Elfenbeinküste,,,
Portugal,,,
Ägypten,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
Niederlande,,,
Sierra Leone,,,
